event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
11,4,7,0,0.4877154207788408,0.5157457554566742,292.5,1.118033988749895,4
8,4,4,0,0.46142726777387516,0.5680576517382172,292.5,1.118033988749895,4
10,3,7,0,0.5053066388807363,0.5854898315706475,293.0,0.816496580927726,3
15,2,13,0,0.3037773303554526,0.4725146813131994,293.5,0.5,2
15,1,14,0,0.2863082053538944,0.36457533422064686,294.0,0.0,1
13,0,13,0,0.21928381252412996,0.21183969732871558,0.0,0.0,0
17,2,15,0,0.2607966093928553,0.29602699664715126,303.0,7.0,2
13,2,11,0,0.28496507291371626,0.3217047488948791,303.0,7.0,2
6,2,4,0,0.4310235334560275,0.4056177724741865,303.0,7.0,2
4,2,2,0,0.15468755581726631,0.21794580584372972,303.0,7.0,2
4,2,2,0,0.15468755581726631,0.21794580584372972,303.0,7.0,2
4,2,2,0,0.06638358347117901,0.09166751441593861,311.5,0.5,2
4,2,2,0,0.06638358347117901,0.09166751441593861,311.5,0.5,2
4,2,2,0,0.06638358347117901,0.09166751441593861,311.5,0.5,2
4,2,2,0,0.06638358347117901,0.09166751441593861,311.5,0.5,2
4,2,2,0,0.7017612913623452,0.9906229145985678,314.5,0.5,2
4,2,2,0,0.7017612913623452,0.9906229145985678,314.5,0.5,2
4,2,2,0,0.7017612913623452,0.9906229145985678,314.5,0.5,2
3,1,1,0,0.0033736671321094036,0.0008740420453250408,314.0,0.0,1
7,3,3,0,0.2405632083925108,0.47602211779429887,315.0,0.816496580927726,3
9,4,4,0,0.2524750209413469,0.4369069653287986,315.5,1.118033988749895,4
9,4,4,0,0.2524750209413469,0.4369069653287986,315.5,1.118033988749895,4
9,4,4,0,0.2524750209413469,0.4369069653287986,315.5,1.118033988749895,4
8,4,4,0,0.5297161250242165,1.024667392983397,316.5,1.118033988749895,4
4,2,2,0,0.9988082641114792,1.4110476296112164,317.5,0.5,2
4,2,2,0,0.44538806937634945,0.6285225513266138,319.5,0.5,2
8,4,4,0,0.2933372261800936,0.45493870562107674,320.5,1.118033988749895,4
8,4,4,0,0.2933372261800936,0.45493870562107674,320.5,1.118033988749895,4
8,4,4,0,0.2933372261800936,0.45493870562107674,320.5,1.118033988749895,4
12,5,5,0,0.31322814405641775,0.6804397735948338,320.8,0.7483314773547883,5
14,6,6,0,0.35018711537122726,0.6808589403418788,321.1666666666667,0.6871842709362768,6
12,5,5,0,0.17853504165329717,0.34880390649812876,321.4,1.019803902718557,5
12,5,5,0,0.17853504165329717,0.34880390649812876,321.4,1.019803902718557,5
12,5,5,0,0.17853504165329717,0.34880390649812876,321.4,1.019803902718557,5
6,3,3,0,0.084503891505301,0.10858235443974372,322.0,0.816496580927726,3
3,1,2,0,0.6011109375394881,0.6000522295944393,324.0,0.0,1
5,2,3,0,0.6635349376592785,0.6685049249971812,325.0,1.0,2
7,3,4,0,0.617379937476168,0.6274048811948603,332.6666666666667,10.873004286866726,3
5,2,3,0,0.6255144374445081,0.6404884683043649,337.0,11.0,2
5,2,3,0,0.6255144374445081,0.6404884683043649,337.0,11.0,2
4,2,2,0,0.3502935276677211,0.4939444374904051,337.0,11.0,2
4,2,2,0,1.3930809861049056,1.9683060402427275,348.5,0.5,2
4,2,2,0,0.05432098638266325,0.07485868604350414,349.5,0.5,2
6,3,3,0,0.36119544189423325,0.6430924858797481,351.3333333333333,2.6246692913372702,3
10,5,5,0,0.334245134351982,0.5243786327456359,353.4,3.2619012860600183,5
12,6,6,0,0.3046198145232417,0.48393405497363456,354.1666666666667,3.435921354681384,6
12,6,6,0,0.4479002652012489,0.6306728589556722,355.8333333333333,2.9107081994288304,6
14,7,7,0,0.2976769840058226,0.4746810782745779,358.0,2.0,7
14,7,7,0,0.3336373172843686,0.5224825532297703,359.0,2.0,7
12,6,6,0,0.43675266290930187,0.6163347098764961,360.5,1.707825127659933,6
10,5,5,0,0.34088573615170187,0.4966775736736896,361.0,1.4142135623730951,5
9,4,5,0,0.49699585407506675,0.59642446035592,361.5,1.118033988749895,4
11,5,6,0,0.42566636661067603,0.5264867060589038,364.0,1.4142135623730951,5
15,7,8,0,0.28390796429344584,0.3971801513397476,366.0,2.0,7
13,6,7,0,0.2219949965365231,0.29302176655802115,366.5,1.707825127659933,6
15,7,8,0,0.2875081815623811,0.40665287594672506,367.14285714285717,2.2314999074019015,7
